geneSymbol	diseaseClass	diseaseClassLabel
A2M	D012140	16
A2ML1	D010038	15
AARS2	D009422	13
ABCA1	D009422	13
ABCA13	D013568	17
ABCA3	D012140	16
ABCA4	D005128	4
ABCA7	D009422	13
ABCB1	D009422	13
ABCB11	D004066	2
ABCB5	D009369	12
ABCB6	D009750	14
ABCB7	D006425	6
ABCC1	D009422	13
ABCC11	D013568	17
ABCC12	D064419	21
ABCC2	D004066	2
ABCC3	D004066	2
ABCC4	D064419	21
ABCC6	D009750	14
ABCC8	D009750	14
ABCC9	D002318	1
ABCD1	D009358	11
ABCD4	D013568	17
ABCF1	D007154	7
ABCG1	D013568	17
ABCG2	D009369	12
ABCG5	D002318	1
ABCG8	D004066	2
ABHD12	D005128	4
ABI3	D009422	13
ABL1	D009369	12
ABLIM1	D064419	21
ABO	D004066	2
ABT1	D013568	17
ACAA2	D012140	16
ACACA	D002318	1
ACACB	D009750	14
ACADM	D004066	2
ACADS	D002318	1
ACADVL	D013568	17
ACE	D004066	2
ACE2	D005261	5
ACER3	D009369	12
ACHE	D064419	21
ACKR1	D007239	8
ACKR3	D009369	12
ACKR4	D005261	5
ACLY	D002318	1
ACO2	D012140	16
ACOT2	D002318	1
ACP5	D004700	3
ACSL6	D006425	6
ACTA1	D002318	1
ACTA2	D012140	16
ACTB	D009422	13
ACTC1	D005128	4
ACTG1	D002318	1
ACTN2	D002318	1
ACTN4	D009369	12
ACTRT1	D009369	12
ACVR1	D009369	12
ACVR2A	D013568	17
ACVR2B	D009358	11
ACVRL1	D013568	17
ADA	D002318	1
ADAM10	D009422	13
ADAM17	D007154	7
ADAM33	D012140	16
ADAM9	D005128	4
ADAMTS1	D009422	13
ADAMTS13	D006425	6
ADAMTS20	D009369	12
ADAMTS7	D002318	1
ADAMTSL2	D013568	17
ADARB2	D064419	21
ADCY1	D064419	21
ADCY10	D013568	17
ADCY5	D013568	17
ADCY7	D009369	12
ADCY8	D064419	21
ADCYAP1	D002318	1
ADD1	D002318	1
ADD3	D009422	13
