Gene_1	Gene_2	Expression_Value
S000003317	S000002999	1.97523875
S000001802	S000002156	1.33988223
S000003727	S000003713	1.22609861
S000002977	S000005316	1.12884053
S000003317	S000001331	1.66254877
S000001492	S000003071	1.12688157
S000004187	S000006064	1.1848028
S000006011	S000005839	1.28140838
S000005040	S000002233	1.21787543
S000002156	S000004038	1.32426815
S000005958	S000005245	1.12209551
S000001410	S000005040	1.18504201
S000004433	S000003266	1.49430833
S000000168	S000006000	1.26699334
S000002826	S000002239	1.42637827
S000006336	S000002471	1.23308674
S000001802	S000004440	1.15707346
S000005819	S000002790	1.18626946
S000001802	S000004380	1.28249948
S000004380	S000005400	1.56335183
S000004306	S000004185	1.20067395
S000004038	S000004855	1.3966164
S000004175	S000004433	1.58268342
S000005245	S000004317	1.32190734
S000006052	S000004528	1.59042362
S000001543	S000004034	1.30965783
S000006052	S000006141	1.5475894
S000006306	S000004528	1.96169079
S000006391	S000004175	1.34176514
S000001802	S000003380	1.38931798
S000002219	S000005819	1.40852769
S000003726	S000001246	1.21544427
S000000933	S000002999	1.93434916
S000001802	S000005013	1.13571867
S000002432	S000002219	1.18296937
S000003725	S000004336	1.23732749
S000003044	S000002466	1.10291445
S000003713	S000003157	1.58722833
S000005246	S000000627	1.38774773
S000001767	S000003115	1.26621276
S000003674	S000005839	1.18905154
S000002223	S000000595	1.2190743
S000001765	S000005400	1.45364513
S000005958	S000004317	1.20156814
S000004433	S000005802	1.41826065
S000000876	S000001280	1.57309038
S000002432	S000003446	1.15980452
S000005011	S000001236	1.33916632
S000005245	S000005040	1.31129152
S000001451	S000003999	1.19034736
S000004157	S000005011	1.434873
S000005246	S000002471	1.32816847
S000005122	S000002239	1.3650327
S000001765	S000001395	1.29730378
S000004530	S000005262	1.20415885
S000001025	S000002908	1.13670299
S000006391	S000003317	1.3207927
S000005559	S000002764	1.10428417
S000004306	S000003434	1.13552733
S000003610	S000004305	1.24869952
S000002855	S000004440	1.13279608
S000000133	S000000131	1.13263911
S000001331	S000005480	1.4570261
S000000135	S000005005	1.13353945
S000000036	S000001280	1.25889111
S000005839	S000005480	1.32615604
S000004359	S000000876	1.30885171
S000003674	S000005246	1.41098329
S000001767	S000002156	1.16605401
S000004157	S000003884	1.23890556
S000002855	S000005011	1.21940949
S000001492	S000002826	1.15257012
S000006052	S000005399	1.4594977
S000000385	S000000780	1.41907536
S000004038	S000003317	1.40205986
S000005896	S000005622	1.4594309
S000004359	S000002471	1.2992346
S000006064	S000002419	1.12418852
S000001395	S000002240	1.34341956
S000003725	S000005122	1.26504944
S000005750	S000003674	1.16961327
S000003727	S000005896	1.17438158
S000004035	S000002739	1.10688549
S000000876	S000002239	1.32152664
S000004019	S000005122	1.31361153
S000001183	S000004051	1.43477047
S000006002	S000005399	1.20535663
S000002826	S000003350	1.32230165
S000003350	S000005011	1.48150165
S000001421	S000006324	1.13797395
S000003725	S000003350	1.13843591
S000002807	S000003999	1.1892295
S000001061	S000002239	1.21402083
S000005429	S000002238	1.31724716
S000001767	S000000904	1.1413077
S000006011	S000005622	1.52466182
S000003259	S000004038	1.2970727
S000005896	S000003713	1.46361917
S000003084	S000004530	1.19575545
S000002633	S000000098	1.25882705
S000003968	S000006141	1.57169082
S000000385	S000005487	1.41615046
S000001246	S000003713	1.93162942
S000003674	S000000235	1.15246418
S000004433	S000002239	1.20434011
S000003674	S000003115	1.30473583
S000002457	S000001217	1.742028
S000002156	S000000933	1.81000852
S000004325	S000005122	1.4667938
S000002793	S000004440	1.12774416
S000002793	S000003674	1.11389936
S000002908	S000006247	1.29582844
S000006119	S000005589	1.39713528
S000005246	S000004332	1.2112238
S000005481	S000003115	1.72723956
S000000123	S000005589	1.22036166
S000002219	S000003968	1.62278777
S000001007	S000001236	1.19472845
S000002432	S000003317	1.16815237
S000000876	S000005480	1.44696298
S000003906	S000003115	1.45935946
S000004380	S000002239	1.22935714
S000006247	S000002239	1.22443294
S000005481	S000001639	1.28498652
S000002156	S000005013	1.34392404
S000005245	S000002826	1.84244008
S000001410	S000005245	1.29456515
S000001714	S000005684	1.1739626
S000000876	S000001063	1.12749509
S000003044	S000005013	1.63859928
S000005013	S000000933	1.63643822
S000003713	S000005246	1.84290981
S000004187	S000002240	1.12109531
S000003103	S000005589	1.62844393
S000005559	S000001635	1.30529194
S000001061	S000000385	1.15343674
S000003674	S000005760	1.15989978
S000006011	S000002826	1.36917268
S000000003	S000001331	1.11036022
S000001007	S000005246	1.6878601
S000001246	S000004332	1.39598167
S000005487	S000002471	1.25474924
S000000933	S000000919	1.5886073
S000001767	S000001052	1.13225283
S000004175	S000005122	1.32879202
S000003968	S000005011	1.75444004
S000005760	S000005106	1.37843503
S000000385	S000005819	1.44998775
S000000322	S000001025	1.13148507
S000001635	S000004688	1.24900081
S000003674	S000003266	1.3100199
S000002457	S000001635	1.64177973
S000004175	S000006064	1.33462134
S000003672	S000005481	1.60898917
S000000003	S000003674	1.13637588
S000002908	S000006119	1.25259702
S000005399	S000004332	1.45298163
S000004629	S000001676	1.15451282
S000004440	S000000780	1.27384318
S000003350	S000004855	1.190336
S000000168	S000002288	1.14700023
S000003661	S000001732	1.30784012
S000004175	S000005013	1.22146177
S000001246	S000002879	1.56933206
S000002855	S000004325	1.31597637
S000000385	S000003115	1.63055709
S000002432	S000005622	1.24474537
S000003968	S000002879	1.55941988
S000004019	S000002471	1.26062095
S000000385	S000001063	1.25268683
S000006052	S000005106	1.35743832
S000000325	S000000780	1.19807524
S000001025	S000004019	1.31884371
S000001246	S000003103	1.57909163
S000001765	S000001280	1.25068615
S000005589	S000004332	1.54879206
S000005262	S000000399	1.11494808
S000002750	S000002751	1.56318438
S000005481	S000002826	1.80360766
S000005013	S000004528	1.54260713
S000000904	S000001765	1.21605659
S000000933	S000004855	1.43395314
S000001246	S000006306	1.6476022
S000004359	S000001314	1.40234257
S000006119	S000001314	1.74458115
S000003319	S000002790	1.1344191
S000001246	S000000627	1.48633228
S000002908	S000004433	1.17351947
S000005040	S000003071	1.22664582
S000004092	S000003148	1.12052918
S000006000	S000003071	1.23698415
S000004387	S000001093	1.17889258
S000001802	S000005480	1.21777067
S000004157	S000005013	1.19662917
S000001007	S000006141	1.63627343
S000001217	S000004124	1.19520599
S000002998	S000001063	1.16879016
S000003317	S000001489	1.54039466
S000002879	S000005246	1.61108148
S000002219	S000001489	1.69455526
S000004440	S000002879	1.4395397
S000000904	S000001489	1.50528226
S000001314	S000004528	2.01433173
S000000123	S000003115	1.63460666
S000004380	S000003157	1.54515988
S000003266	S000000188	1.14737669
S000001183	S000000780	1.40469795
S000001635	S000004034	1.30710816
S000004855	S000003091	1.3325685
S000003130	S000003084	1.14176645
S000004038	S000003380	1.19181267
S000003725	S000005819	1.19805971
S000004059	S000003932	1.15597318
S000002156	S000001314	1.63888412
S000005153	S000005693	1.21739208
S000000168	S000001246	1.36114776
S000003317	S000003115	1.77615993
S000001314	S000001052	1.44804362
S000003610	S000000292	1.23441348
S000003674	S000005480	1.37133557
S000000036	S000003968	1.12109121
S000005013	S000003071	1.65624794
S000004038	S000000235	1.25391309
S000004359	S000005481	1.34753639
S000005245	S000002239	1.41031696
S000003884	S000002240	1.47247336
S000005192	S000003391	1.58981438
S000004065	S000002790	1.48522943
S000003968	S000001007	1.82849998
S000005481	S000001236	1.23248074
S000001802	S000006336	1.31184731
S000003968	S000004528	1.74286533
S000003044	S000004332	1.25794886
S000001246	S000005246	1.76921649
S000005013	S000005480	1.71191876
S000001314	S000003103	1.59794081
S000003906	S000001236	1.19276581
S000005122	S000003968	1.79249315
S000001246	S000004528	1.78598106
S000001664	S000005085	1.19885803
S000006119	S000000780	1.35414297
S000006119	S000006064	1.64056623
S000003259	S000004051	1.29929029
S000002156	S000005122	1.5061225
S000001489	S000006141	1.76700861
S000000904	S000004528	1.52354125
S000003103	S000001052	1.62397314
S000003726	S000006247	1.13466258
S000001025	S000000993	1.40706363
S000001131	S000005040	1.12490467
S000002241	S000005480	1.10536398
S000005621	S000000135	1.13852233
S000006141	S000005487	1.50654479
S000005457	S000001259	1.12156305
S000002879	S000000627	1.15083557
S000001492	S000005760	1.1498761
S000005122	S000004855	1.40626392
S000005693	S000006064	1.19205109
S000004157	S000003350	1.81028635
S000004433	S000005819	1.44883287
S000005481	S000003446	1.79695135
S000004254	S000000123	1.1161186
S000003906	S000002471	1.28122675
S000001246	S000001489	1.70598826
S000003674	S000005245	1.37130462
S000004830	S000002826	1.11689744
S000005429	S000004530	1.16858766
S000001765	S000005487	1.3521141
S000005400	S000005040	1.41346482
S000005400	S000003091	1.71852609
S000004351	S000004433	1.09965811
S000005481	S000001052	1.30876496
S000002793	S000002239	1.21603285
S000005837	S000005589	1.12363778
S000000780	S000003115	1.25522156
S000002238	S000004035	1.10726257
S000003446	S000005839	1.34156899
S000003446	S000003157	1.30782058
S000001280	S000006336	1.17389717
S000003436	S000001217	1.20105418
S000002999	S000006247	1.5519929
S000004065	S000005399	1.6056592
S000004038	S000001052	1.4569624
S000000273	S000003046	1.10749733
S000003726	S000002240	1.26515838
S000003046	S000003139	1.24070352
S000003588	S000004124	1.13072024
S000003071	S000000780	1.45340104
S000004564	S000003178	1.18363524
S000003713	S000004528	1.77432117
S000004035	S000002520	1.47521357
S000006064	S000000780	1.48139244
S000005246	S000000780	1.4594787
S000001805	S000004369	1.13437059
S000003968	S000001183	1.55530346
S000005750	S000001767	1.10541953
S000004157	S000000188	1.21900978
S000001802	S000005622	1.18684809
S000000123	S000005011	1.53729225
S000006000	S000004855	1.20114027
S000003044	S000003968	1.54529628
S000000036	S000005246	1.128154
S000004380	S000001314	1.759448
S000001767	S000003071	1.551514
S000000904	S000002790	1.29408618
S000004157	S000005802	1.33808915
S000002241	S000006052	1.13978697
S000005106	S000004855	1.70602198
S000003968	S000001063	1.11520712
S000003157	S000005839	1.31970272
S000003726	S000004157	1.1609039
S000005802	S000001639	1.10594237
S000003884	S000002419	1.19409567
S000004051	S000006141	1.52996593
S000005481	S000005013	1.6823616
S000004168	S000000545	1.16842892
S000003044	S000003071	1.66965117
S000004325	S000002999	1.79299289
S000000135	S000003088	1.14279218
S000001802	S000001007	1.35199109
S000001635	S000006278	1.19098121
S000000876	S000003317	1.70697011
S000001066	S000006278	1.12858943
S000005192	S000001213	1.59162987
S000004325	S000005622	1.43149907
S000003727	S000005011	1.20448599
S000003446	S000004855	1.37988305
S000005708	S000003968	1.14123477
S000004206	S000005553	1.18676385
S000000780	S000000235	1.15929884
S000004325	S000003317	1.75241683
S000001314	S000005011	1.57938562
S000005122	S000006336	1.49839342
S000001246	S000005839	1.45535159
S000006052	S000002790	1.46639557
S000003259	S000004855	1.16667482
S000000385	S000001183	1.48007832
S000004187	S000004019	1.13587836
S000002219	S000003713	1.44655045
S000005013	S000001052	1.37068856
S000004019	S000001052	1.18201219
S000003968	S000004336	1.19293211
S000003726	S000001489	1.27443653
S000003280	S000005643	1.11688158
S000005622	S000002471	1.29653953
S000005622	S000001489	1.56704919
S000006011	S000003044	1.27849308
S000001767	S000003044	1.27717624
S000000933	S000003317	1.99089003
S000005122	S000003266	1.49886513
S000003968	S000000627	1.37163301
S000004065	S000005011	1.59829935
S000004732	S000001421	1.24839333
S000005958	S000000904	1.25355579
S000004168	S000004711	1.10210568
S000005693	S000004051	1.22044556
S000005839	S000001052	1.25368113
S000004187	S000005837	1.44070521
S000003571	S000004952	1.13748106
S000002998	S000004528	1.61609505
S000002971	S000001057	1.10989207
S000004359	S000005480	1.28941431
S000001767	S000003266	1.30892148
S000004038	S000002466	1.11210501
S000003115	S000001236	1.26527045
S000003446	S000005819	1.3921367
S000003672	S000003317	1.43812467
S000003713	S000006306	1.69671747
S000006324	S000003341	1.21482375
S000002999	S000005399	1.37351895
S000001924	S000005559	1.15784002
S000006002	S000006141	1.30413604
S000003446	S000000780	1.53098057
S000002432	S000002999	1.13641952
S000002998	S000003380	1.45345263
S000003968	S000003906	1.64817504
S000004239	S000001061	1.16656048
S000004175	S000005481	1.63281092
S000003725	S000001410	1.28180898
S000000003	S000003317	1.12881367
S000002908	S000004175	1.26616715
S000003726	S000003446	1.21728593
S000006064	S000001063	1.11684522
S000003672	S000003071	1.17091807
S000000036	S000006052	1.19806219
S000002343	S000004317	1.14874197
S000001410	S000005760	1.48505069
S000002156	S000001489	1.34790111
S000001314	S000003266	1.80902652
S000005153	S000003317	1.21937374
S000000003	S000001314	1.24264089
S000005745	S000002536	1.11031528
S000003674	S000004440	1.17081295
S000005999	S000001633	1.11104149
S000002793	S000000904	1.18899109
S000004034	S000000036	1.41593633
S000003906	S000004065	1.68432369
S000005553	S000000905	1.3310009
S000003674	S000005896	1.11760419
S000000904	S000003446	1.37940355
S000000003	S000001767	1.12694671
S000005819	S000005399	1.0994183
S000005481	S000002288	1.17624308
S000004957	S000000904	1.17822651
S000004019	S000003071	1.35499156
S000004387	S000004028	1.13904936
S000005122	S000001183	1.48599402
S000000627	S000002419	1.5046343
S000003259	S000002471	1.35485106
S000006314	S000000559	1.19213955
S000001765	S000001236	1.34292165
S000000904	S000006064	1.61560913
S000005013	S000001280	1.89205914
S000006011	S000001052	1.47199824
S000006052	S000003115	1.49792871
S000003103	S000000780	1.73570624
S000004019	S000003906	1.22425263
S000005760	S000003906	1.48496818
S000006011	S000003713	1.41838992
S000001314	S000003115	1.76590597
S000003674	S000005011	1.24987533
S000004065	S000002466	1.18684734
S000002219	S000003317	1.54576249
S000003570	S000003661	1.1976514
S000001635	S000000605	1.50540962
S000005481	S000005480	1.60973682
S000004976	S000002632	1.56829742
S000006002	S000000188	1.1351468
S000005400	S000006052	1.90858434
S000003350	S000003266	1.37460822
S000002706	S000005999	1.10148488
S000004157	S000004855	1.10000546
S000004578	S000004193	1.19526151
S000004065	S000002419	1.3430049
S000002999	S000005106	1.43358308
S000005819	S000003103	1.57849103
S000006119	S000004162	1.10141907
S000002855	S000003672	1.14113702
S000005622	S000005040	1.3447835
S000004359	S000003380	1.27844271
