Protein_1	Protein_2	Interaction_label
AAH1	ADO1	1
AAH1	APT1	1
AAH1	APT2	1
AAH1	SAF1	1
AAP1	ORC2	1
AAP1	ORC3	1
AAP1	ORC4	1
AAP1	ORC5	1
AAT1	MDH1	1
AAT1	URA2	1
AAT2	GDH2	1
AAT2	MDH1	1
AAT2	SDH1	1
ABD1	CEG1	1
ABD1	KIN28	1
ABD1	RPB2	1
ABD1	RPB7	1
ABD1	RPO21	1
ABD1	SPT5	1
ABD1	SSL1	1
ABF1	MLH1	1
ABF1	RAD1	1
ABF1	RAD16	1
ABF1	RAD7	1
ABF1	RPC82	1
ABF1	RPO31	1
ABF1	SSL1	1
ABF1	TFB1	1
ABF1	TFB2	1
ABF2	NHP6A	1
ABP1	ACT1	1
ABP1	APP1	1
ABP1	ARC35	1
ABP1	ARP2	1
ABP1	ARP3	1
ABP1	RVS161	1
ABP1	RVS167	1
ABP1	SAC6	1
ABP1	SLA1	1
ABP1	SRV2	1
ABP140	ACT1	1
ACC1	ACS2	1
ACC1	FAS1	1
ACC1	FAS2	1
ACC1	HFA1	1
ACC1	SIT4	1
ACE2	BAS1	1
ACE2	CTK1	1
ACE2	SUA7	1
ACE2	UBP15	1
ACH1	LSC1	1
ACH1	LSC2	1
ACK1	IPP1	1
ACK1	ROM2	1
ACO1	CIT1	1
ACO1	CIT2	1
ACO1	HSP42	1
ACO1	ICL1	1
ACO1	IDP2	1
ACO1	ILV3	1
ACO2	ICL1	1
ACO2	IDH1	1
ACO2	ILV5	1
ACO2	MRPL16	1
ACP1	ISD11	1
ACP1	NDI1	1
ACP1	NFS1	1
ACS1	ACS2	1
ACS1	ALD6	1
ACS1	MLS1	1
ACS2	ALD6	1
ACS2	PYC2	1
ACS2	TKL1	1
ACT1	AIP1	1
ACT1	ARC18	1
ACT1	ARC19	1
ACT1	ARC35	1
ACT1	ARC40	1
ACT1	ARP2	1
ACT1	ARP3	1
ACT1	ARP4	1
ACT1	ARP5	1
ACT1	ARP6	1
ACT1	ARP8	1
ACT1	BDF1	1
ACT1	BEM1	1
ACT1	BIK1	1
ACT1	BIM1	1
ACT1	BMH1	1
ACT1	BMH2	1
ACT1	BNI1	1
ACT1	BNR1	1
ACT1	BUD6	1
ACT1	BZZ1	1
ACT1	CAP1	1
ACT1	CAP2	1
ACT1	CCT2	1
ACT1	CCT3	1
ACT1	CCT4	1
ACT1	CCT5	1
ACT1	CCT7	1
ACT1	CDC28	1
ACT1	CDC42	1
ACT1	CHC1	1
ACT1	CHS2	1
ACT1	CLC1	1
ACT1	COF1	1
ACT1	CPR1	1
ACT1	CRN1	1
ACT1	CYR1	1
ACT1	DYN1	1
ACT1	EAF6	1
ACT1	EPL1	1
ACT1	ERG13	1
ACT1	ESA1	1
ACT1	GCN5	1
ACT1	GCS1	1
ACT1	GLC7	1
ACT1	HFI1	1
ACT1	HHF1	1
ACT1	HHT2	1
ACT1	HOF1	1
ACT1	HSC82	1
ACT1	HSL7	1
ACT1	HSP104	1
ACT1	HSP82	1
ACT1	HTB1	1
ACT1	HTZ1	1
ACT1	INO80	1
ACT1	INP53	1
ACT1	IQG1	1
ACT1	LAS17	1
ACT1	LDB17	1
ACT1	LRG1	1
ACT1	MYO1	1
ACT1	MYO2	1
ACT1	MYO4	1
ACT1	MYO5	1
ACT1	NGG1	1
ACT1	NHP10	1
ACT1	PAN1	1
ACT1	PBS2	1
ACT1	PFY1	1
ACT1	PHO85	1
ACT1	RGA1	1
ACT1	RHO1	1
ACT1	RHO2	1
ACT1	RHO3	1
ACT1	ROM2	1
ACT1	RSP5	1
ACT1	RVB1	1
ACT1	RVB2	1
ACT1	RVS161	1
ACT1	RVS167	1
ACT1	SAC6	1
ACT1	SAS4	1
ACT1	SEC2	1
ACT1	SGF29	1
ACT1	SLA2	1
ACT1	SMY1	1
ACT1	SRV2	1
ACT1	STE20	1
ACT1	SUP35	1
ACT1	SWC4	1
ACT1	SWR1	1
ACT1	TAF14	1
ACT1	TCP1	1
ACT1	TDH1	1
ACT1	TDH3	1
ACT1	TPM1	1
ACT1	TPM2	1
ACT1	TRA1	1
ACT1	TUB1	1
ACT1	TUB3	1
ACT1	TWF1	1
ACT1	VPS71	1
ACT1	VPS72	1
ACT1	VRP1	1
ACT1	YAF9	1
ACT1	YNG2	1
ACT1	YPT11	1
ADA2	AHC1	1
ADA2	ARP4	1
ADA2	CHD1	1
ADA2	EAF6	1
