Protein_1	Protein_2	LRBS	RRBS
S000000001	S000004850	1.4548448600085102	0.014743921365752716
S000000001	S000006102	1.4608978427565478	0.016920374707259954
S000000002	S000002166	1.4828735836087537	0.02055442866801893
S000000002	S000002270	1.4608978427565478	0.010403167746580273
S000000002	S000003330	1.4712917110589385	0.009974726200505477
S000000002	S000004951	1.4828735836087537	0.018748072772124574
S000000002	S000006341	1.4548448600085102	0.015031645569620253
S000000003	S000002990	1.436162647040756	0.028996282527881043
S000000004	S000000373	2.404833716619938	0.18621700879765396
S000000004	S000000756	2.7371926427047373	0.41935483870967744
S000000004	S000000905	3.017450729510536	0.7980068991950939
S000000004	S000001106	2.3283796034387376	0.17794486215538846
S000000004	S000001556	2.1383026981662816	0.08868107062237987
S000000004	S000002388	2.857935264719429	0.5654901960784313
S000000004	S000003407	1.4517864355242902	0.0243755383290267
S000000004	S000003571	2.9041743682841634	0.5989544436146378
S000000004	S000003947	3.1061908972634154	0.9807987711213517
S000000004	S000004361	2.7180862947830917	0.39748953974895396
S000000004	S000005153	2.857935264719429	0.5661562622693365
S000000004	S000005667	1.4456042032735976	0.017953667953667953
S000000004	S000006027	2.419955748489758	0.19274459508977648
S000000007	S000001386	1.429752280002408	0.04682332463011314
S000000007	S000001412	1.4548448600085102	0.03323615160349854
S000000007	S000005476	1.4183012913197455	0.039547169811320754
S000000007	S000005986	1.4487063199050798	0.05477582846003899
S000000010	S000001154	2.1072099696478683	0.16090509113764928
S000000010	S000001338	1.4712917110589385	0.04225553176302641
S000000010	S000001844	1.4548448600085102	0.02191464821222607
S000000010	S000003152	2.2695129442179165	0.21052631578947367
S000000010	S000003891	1.797959643737196	0.058939465039887375
S000000010	S000004099	1.424881636631067	0.04554794520547945
S000000010	S000004547	1.6893088591236203	0.04536178107606679
S000000011	S000002464	1.4337698339248657	0.027774936061381074
S000000012	S000003180	1.655618583541222	0.07855902777777778
S000000013	S000005403	2.484299839346786	0.38006230529595014
S000000014	S000000100	1.530199698203082	0.010635294117647059
S000000014	S000000221	1.4487063199050798	0.01773989898989899
S000000014	S000003163	1.4941545940184429	0.009320388349514564
S000000014	S000004378	1.5352941200427705	0.0222654982148653
S000000014	S000004901	1.546542663478131	0.021398176291793313
S000000014	S000004925	1.4690852991231205	0.016756756756756756
S000000015	S000000185	1.4638929889859074	0.01567887931034483
S000000015	S000000197	1.4548448600085102	0.011235955056179775
S000000015	S000000232	1.919078092376074	0.04288297597520021
S000000015	S000000263	1.783903579272735	0.023946435604568727
S000000015	S000000478	1.9666109866819343	0.047781217750257995
S000000015	S000000925	1.4941545940184429	0.01607833032723525
S000000015	S000000931	1.9501213475113734	0.034824218750000004
S000000015	S000000999	1.9339931638312424	0.03646784122267035
S000000015	S000001072	1.808210972924222	0.03389562467053242
S000000015	S000001121	1.670245853074124	0.018421570556976973
S000000015	S000001124	1.7570162347313005	0.023226986384881125
S000000015	S000001144	1.8779469516291882	0.030278724684178866
S000000015	S000001357	1.893206753059848	0.03513027852650494
S000000015	S000001531	1.8573324964312685	0.0351219512195122
S000000015	S000001584	2.037426497940624	0.037037037037037035
S000000015	S000001622	1.9138138523837167	0.04231166150670795
S000000015	S000001644	1.7589118923979736	0.03117024165082813
S000000015	S000001651	1.9387698227831174	0.04048007457469121
S000000015	S000001654	1.5171958979499744	0.014000000000000002
S000000015	S000001861	1.5943925503754266	0.012227753578095829
S000000015	S000001865	1.6998377258672457	0.02823330515638208
S000000015	S000002183	2.0472748673841794	0.0548180924287119
S000000015	S000002186	1.9774949690730363	0.043565037852718515
S000000015	S000002237	1.7701152947871015	0.03082962575242083
S000000015	S000002259	1.9675479762188621	0.04829560239396306
S000000015	S000002655	1.7649229846498886	0.031181355478167694
S000000015	S000002898	2.031408464251624	0.04910918227501142
S000000015	S000002915	2.103803720955957	0.04974539757148453
S000000015	S000002989	1.4771212547196624	0.013866420152530621
S000000015	S000003126	2.0211892990699383	0.05455962587685113
S000000015	S000003147	1.9510945568416629	0.045378364652107664
S000000015	S000003148	1.7481880270062005	0.02413793103448276
S000000015	S000003284	1.9159272116971158	0.04635724331926864
S000000015	S000003420	1.5378190950732742	0.014078759436849622
S000000015	S000003593	1.5921767573958667	0.018771003360537688
S000000015	S000003631	1.9738203243526837	0.032538448246068774
S000000015	S000003642	1.854002233126989	0.03465082444228904
S000000015	S000003701	1.8185557792978027	0.02886259040105194
S000000015	S000003723	1.7701152947871015	0.026365264100268578
S000000015	S000003820	1.9003671286564703	0.03549899531145345
S000000015	S000003942	1.8273692730538251	0.031161604451657773
S000000015	S000004103	1.8247764624755458	0.03617655023016518
S000000015	S000004238	1.9602328731285124	0.04521803766105054
S000000015	S000004603	2.012837224705172	0.04852767962308598
S000000015	S000004747	1.823800153749878	0.03757046223224352
S000000015	S000004829	1.6190933306267428	0.019250347061545582
S000000015	S000004905	1.91803033678488	0.04129675810473816
S000000015	S000004965	1.8686444383948257	0.036066373840898
S000000015	S000005105	1.5921767573958667	0.01793989447120899
S000000015	S000005242	1.963079160641827	0.040551876379690946
S000000015	S000005314	1.8767949762007006	0.02486379395740466
S000000015	S000005330	2.0492180226701815	0.04832793959007551
S000000015	S000005405	1.8221680793680175	0.026338754462514876
S000000015	S000005460	2.041392685158225	0.04395604395604396
S000000015	S000005473	1.9836262871245345	0.04645441389290882
S000000015	S000005488	1.69284691927723	0.027665544332211
S000000015	S000005531	1.4668676203541096	0.012399492170969107
S000000015	S000005757	1.9319661147281726	0.04463586530931871
S000000015	S000005759	1.9637878273455553	0.041469461347757496
S000000015	S000005793	1.9860996250551295	0.04429453464440887
S000000015	S000005831	1.4638929889859074	0.011425206124852769
S000000015	S000005947	1.7649229846498886	0.03043137254901961
S000000015	S000005963	1.760422483423212	0.029179331306990883
S000000015	S000006061	1.899546931090867	0.04141440501043841
S000000015	S000006062	2.0	0.043782837127845885
S000000015	S000006071	1.9566485792052033	0.03911821914847633
S000000015	S000006130	1.9595183769729982	0.051468926553672315
S000000015	S000006157	1.6127838567197355	0.0232163080407701
S000000015	S000006258	1.9425041061680808	0.04881582613541376
S000000015	S000006315	1.8609366207000937	0.03666666666666667
S000000017	S000000277	2.278753600952829	0.08812615955473098
S000000017	S000000449	2.4240645254174877	0.11407089151450053
S000000017	S000000924	1.4690852991231205	0.01760310818888225
S000000017	S000000966	2.4216039268698313	0.09837898267188373
S000000017	S000001388	2.45484486000851	0.111328125
S000000017	S000001934	2.2730012720637376	0.09191176470588236
S000000017	S000002242	1.4548448600085102	0.017527675276752766
S000000017	S000002742	2.12057393120585	0.048280907095830286
S000000017	S000003118	2.08278537031645	0.04477335800185014
S000000017	S000003131	2.3010299956639813	0.09521542489883361
S000000017	S000003796	2.084576277934331	0.053172866520787745
S000000017	S000003797	1.4771212547196624	0.01437125748502994
S000000017	S000004022	1.8552161947333634	0.03016842105263158
S000000017	S000004237	1.7331972651065695	0.019576623846571373
S000000017	S000005455	1.4690852991231205	0.01553270042194093
S000000017	S000005717	1.9377685670499358	0.03047300861614208
S000000017	S000005742	1.4608978427565478	0.017600487210718635
S000000017	S000005831	2.45484486000851	0.12279190004308488
S000000017	S000006003	2.412460547429961	0.08369758782580541
S000000019	S000004099	1.436162647040756	0.025925925925925925
S000000019	S000004603	1.4517864355242902	0.01765439800374298
S000000019	S000004898	1.816241299991783	0.04633887513264945
S000000019	S000005402	2.0492180226701815	0.08981555733761026
S000000019	S000005880	1.7283537820212285	0.031835763165724486
S000000019	S000006174	1.4456042032735976	0.018265139116202946
S000000021	S000002251	2.4983105537896004	0.2020525978191148
S000000021	S000002253	2.562887381293879	0.2228658536585366
S000000021	S000002715	1.932980821923198	0.058319156175569924
S000000021	S000003431	2.8318697742805017	0.42920353982300885
S000000021	S000003904	2.44870631990508	0.1778481012658228
S000000021	S000005848	3.0170333392987803	0.6617881005408845
S000000022	S000000041	1.4578818967339924	0.012668285146766718
S000000022	S000002301	1.4857214264815801	0.0174508126603935
S000000022	S000002780	1.4885507165004443	0.016965023409529056
S000000022	S000003160	1.4548448600085102	0.013626583791537174
S000000022	S000003592	1.5092025223311027	0.013611462284028654
S000000022	S000005606	1.4668676203541096	0.01321903902549064
S000000022	S000005927	1.4608978427565478	0.010817892569717387
S000000024	S000001310	2.6580113966571126	0.17483189241114314
S000000024	S000001444	1.4424797690644486	0.017762103238217378
S000000024	S000002445	1.8007170782823851	0.024911312573906188
S000000024	S000002446	1.8007170782823851	0.024901497241922775
S000000024	S000002500	1.7649229846498886	0.018896103896103897
S000000024	S000003632	1.4517864355242902	0.018008272351256762
S000000024	S000003645	1.5171958979499744	0.010331292196577172
S000000024	S000004409	1.507180977260241	0.016147664490205927
S000000024	S000004772	1.9547247909790628	0.028753789692037655
S000000024	S000005124	1.4487063199050798	0.016043391378818158
S000000024	S000005265	1.5118833609788744	0.01381509032943677
S000000024	S000005817	1.8286598965353198	0.0229994881419553
S000000024	S000006006	1.4668676203541096	0.008021902806297058
S000000025	S000003098	1.4608978427565478	0.038844086021505374
S000000025	S000004767	1.436162647040756	0.06393442622950819
S000000027	S000000484	1.4771212547196624	0.013726835964310227
S000000027	S000001612	2.6349808000512285	0.15182969739619986
S000000027	S000002958	1.4771212547196624	0.014584346135148274
S000000027	S000003567	1.4548448600085102	0.01654091700522345
S000000027	S000004715	2.629919035503542	0.15278524090990506
S000000027	S000005391	1.4941545940184429	0.01599589848756729
S000000027	S000005928	1.4668676203541096	0.013772032902467686
S000000028	S000001679	1.5658478186735176	0.11168437025796661
S000000028	S000004083	1.714329759745233	0.1356020942408377
S000000028	S000005854	2.1775364999298623	0.6270833333333333
S000000028	S000006170	1.4305587695227575	0.025975903614457833
S000000029	S000005381	1.4578818967339924	0.01583448275862069
S000000030	S000002902	1.4668676203541096	0.03837590045841519
S000000030	S000006343	1.436162647040756	0.03911174785100287
S000000031	S000003502	1.4487063199050798	0.017684078036500944
S000000033	S000000883	1.4456042032735976	0.018631051752921533
S000000033	S000004280	1.737987326333431	0.03256921702887764
S000000033	S000005107	1.7528164311882715	0.026234067207415987
S000000033	S000005972	1.4517864355242902	0.02321575061525841
S000000034	S000000808	1.4857214264815801	0.03373759647188534
S000000034	S000003067	1.5024271199844328	0.030591630591630593
S000000034	S000003405	2.56643749219507	0.4871116986120291
S000000034	S000004289	1.424881636631067	0.043111831442463534
S000000034	S000005336	1.5224442335063197	0.03786242183058556
S000000034	S000006014	1.6910814921229684	0.046828803051979014
S000000036	S000000498	1.4885507165004443	0.022015725518227305
S000000036	S000004393	1.4668676203541096	0.024145035022661722
S000000036	S000004951	1.4517864355242902	0.03413751507840772
S000000036	S000005874	2.8683504996479683	0.7145621673923561
S000000037	S000001570	1.9434945159061026	0.17015503875968993
S000000037	S000004172	1.4393326938302626	0.02501136880400182
S000000037	S000005135	1.4183012913197455	0.0401840490797546
S000000037	S000005972	1.4014005407815442	0.05201238390092879
S000000038	S000000772	1.4424797690644486	0.027923387096774194
S000000038	S000001493	1.4720246977002813	0.014058795637743005
S000000038	S000002314	1.662757831681574	0.044681884409907724
S000000038	S000003340	1.5705429398818975	0.03463687150837989
S000000038	S000003341	1.7024305364455252	0.05137614678899082
S000000038	S000004200	1.6739419986340878	0.04438175834508698
S000000038	S000004812	1.7011360660925265	0.04352533564313556
S000000038	S000006177	1.6739419986340878	0.040954446854663776
S000000038	S000006323	1.6026025204202565	0.036492027334851934
S000000038	S000006324	1.6646419755561255	0.0443590974555929
S000000039	S000000826	1.4456042032735976	0.015254237288135592
S000000039	S000002982	1.4608978427565478	0.01619501260857383
