Protein_1	Protein_2	Interaction_label
A1CF	APOBEC1	1
A2M	APP	1
A2M	LRP1	1
A2M	MMP2	1
AAAS	KPNB1	1
AAAS	NUP107	1
AAAS	NUP133	1
AAAS	NUP153	1
AAAS	SEH1L	1
AAAS	UBE2I	1
AAK1	AP2A1	1
AAK1	AP2B1	1
AAK1	AP2M1	1
AAK1	AP2S1	1
AAK1	CLTB	1
AAK1	CLTC	1
AAK1	GAK	1
AAK1	REPS1	1
AANAT	YWHAZ	1
AASDHPPT	FASN	1
AATF	DDX52	1
AATF	KRI1	1
AATF	MAGED1	1
AATF	MPHOSPH10	1
AATF	NGDN	1
AATF	NOC2L	1
AATF	NOL10	1
AATF	NOL6	1
AATF	POLR2J	1
AATF	RB1	1
AATF	TBL3	1
AATF	WDR36	1
ABAT	ALDH5A1	1
ABCA1	APOA1	1
ABCA1	PLTP	1
ABCB11	NR1H4	1
ABCB7	FECH	1
ABCC2	PDZK1	1
ABCC8	KCNJ11	1
ABCC8	KCNJ8	1
ABCC8	RAPGEF4	1
ABCC9	KCNJ11	1
ABCC9	KCNJ8	1
ABCD1	ABCD2	1
ABCD1	ABCD3	1
ABCD1	PEX19	1
ABCD2	ABCD3	1
ABCD2	PEX19	1
ABCD3	PEX19	1
ABCE1	DDX18	1
ABCE1	EIF3J	1
ABCE1	ETF1	1
ABCE1	RNASEL	1
ABCE1	RPL12	1
ABCE1	RPL17	1
ABCE1	RPL19	1
ABCE1	RPL23A	1
ABCE1	RPL24	1
ABCE1	RPL27	1
ABCE1	RPL34	1
ABCE1	RPL37	1
ABCE1	RPL8	1
ABCE1	RPS8	1
ABCF1	DHX9	1
ABCG5	ABCG8	1
ABHD5	PLIN1	1
ABHD5	PLIN2	1
ABHD5	PNPLA2	1
ABI1	ABI2	1
ABI1	ABL1	1
ABI1	ABL2	1
ABI1	BAIAP2	1
ABI1	BRK1	1
ABI1	CYFIP1	1
ABI1	CYFIP2	1
ABI1	ENAH	1
ABI1	EPS8	1
ABI1	ITGA4	1
ABI1	NCKAP1	1
ABI1	NCKAP1L	1
ABI1	SOS1	1
ABI1	WASF1	1
ABI1	WASF2	1
ABI1	WASF3	1
ABI1	WASL	1
ABI2	ABL1	1
ABI2	ABL2	1
ABI2	BRK1	1
ABI2	CYFIP1	1
ABI2	CYFIP2	1
ABI2	NCKAP1	1
ABI2	NCKAP1L	1
ABI2	RAC1	1
ABI2	WASF1	1
ABI2	WASF2	1
ABI2	WASF3	1
ABI3	WASF2	1
ABL1	ABL2	1
ABL1	ATM	1
ABL1	BCR	1
ABL1	CAP1	1
ABL1	CDK5	1
ABL1	CDON	1
ABL1	CRK	1
ABL1	CRKL	1
ABL1	CTNNB1	1
ABL1	FYN	1
ABL1	GRB2	1
ABL1	HCK	1
ABL1	NTRK1	1
ABL1	PTPN1	1
ABL1	RAD51	1
ABL1	RB1	1
ABL1	ROBO1	1
ABL1	SPAG9	1
ABL1	SRC	1
ABL1	TERT	1
ABL1	TP53	1
ABL1	TP73	1
ABL2	CRK	1
ABL2	NCK1	1
ABL2	PSMA7	1
ACAA1	HSD17B4	1
ACAA1	PEX5	1
ACAA1	PEX7	1
ACAA1	SCP2	1
ACAA2	ACAT1	1
ACAA2	HSD17B10	1
ACACA	PRKAA1	1
ACAD9	ECSIT	1
ACAD9	MT-ND6	1
ACAD9	NDUFA13	1
ACAD9	NDUFA2	1
ACAD9	NDUFA8	1
ACAD9	NDUFAF1	1
ACAD9	NDUFAF3	1
ACAD9	NDUFAF4	1
ACAD9	NDUFAF5	1
ACAD9	NDUFB11	1
ACAD9	NDUFB5	1
ACAD9	NDUFC2	1
ACAD9	NDUFS2	1
ACAD9	NDUFS3	1
ACAD9	NDUFS5	1
ACAD9	NDUFS7	1
ACAD9	TMEM126B	1
ACADM	ETFA	1
ACAN	HAPLN1	1
ACAN	TNR	1
ACAT1	ACAT2	1
ACAT2	HADH	1
ACD	POT1	1
ACD	TERF1	1
ACD	TERF2	1
ACD	TERF2IP	1
ACD	TINF2	1
ACIN1	RNPS1	1
ACIN1	SAP18	1
ACKR1	CXCL8	1
ACKR2	CCL25	1
ACKR2	CCL27	1
ACKR4	CCL19	1
ACKR4	CCL21	1
ACKR4	CCL25	1
ACLY	CS	1
ACO2	IDH3A	1
ACO2	IDH3G	1
ACOT1	ACOT2	1
ACOT13	PCTP	1
ACOX1	PEX14	1
ACSS1	SIRT3	1
ACTA1	CFL1	1
ACTA1	CTTN	1
ACTA1	DMD	1
ACTA1	GSN	1
ACTA1	PAK1	1
ACTA1	PFN1	1
ACTA1	RAC1	1
ACTA1	SRC	1
ACTA1	TLN1	1
ACTA1	TMSB4X	1
ACTA1	TPM2	1
ACTA1	TPM3	1
ACTA1	UTRN	1
ACTA1	VASP	1
ACTA1	VCL	1
ACTA1	WAS	1
ACTA1	WASF2	1
ACTA1	WASL	1
ACTA1	WIPF1	1
ACTA2	CFL1	1
ACTA2	MYH11	1
ACTA2	TMSB4X	1
ACTA2	TPM1	1
ACTB	ACTG1	1
ACTB	ACTN1	1
ACTB	ACTN2	1
ACTB	ACTR2	1
ACTB	ACTR3	1
ACTB	ARPC1B	1
ACTB	BAIAP2	1
ACTB	CCT2	1
ACTB	CCT4	1
ACTB	CCT5	1
ACTB	CCT8	1
ACTB	CFL1	1
ACTB	CFL2	1
ACTB	DCTN2	1
ACTB	DCTN6	1
ACTB	DMAP1	1
ACTB	DSTN	1
ACTB	EPC1	1
ACTB	EZR	1
ACTB	INO80	1
ACTB	IQGAP1	1
ACTB	JUN	1
ACTB	KAT2B	1
ACTB	KAT5	1
ACTB	MORF4L1	1
ACTB	MORF4L2	1
ACTB	MRGBP	1
ACTB	MYH9	1
ACTB	MYL6	1
ACTB	PFDN1	1
ACTB	PFDN4	1
ACTB	PFN1	1
ACTB	PFN2	1
ACTB	POLR2A	1
ACTB	RAC1	1
ACTB	RUVBL1	1
ACTB	RUVBL2	1
ACTB	SMARCA4	1
ACTB	SMARCC2	1
ACTB	SMARCD3	1
ACTB	SMARCE1	1
ACTB	TCP1	1
ACTB	TJP1	1
ACTB	TMSB4X	1
ACTB	UCHL5	1
ACTB	WASF1	1
ACTB	WASF2	1
ACTB	WASF3	1
ACTB	YY1	1
ACTC1	CFL1	1
ACTC1	MYH10	1
ACTC1	TPM1	1
ACTC1	WAS	1
ACTG1	BRK1	1
ACTG1	CFL1	1
ACTG1	CFL2	1
ACTG1	DSTN	1
ACTG1	IQGAP1	1
ACTG1	MYH9	1
ACTG1	MYO1A	1
ACTG1	MYO1C	1
ACTG1	NCKAP1	1
ACTG1	PFN2	1
ACTG1	RUVBL1	1
ACTG1	RUVBL2	1
ACTG1	TMSB4X	1
ACTG1	VASP	1
ACTG1	VCL	1
ACTG1	WASF1	1
ACTG1	WASL	1
ACTG1	WIPF1	1
ACTL6A	ACTR5	1
ACTL6A	ACTR8	1
ACTL6A	ARID1A	1
ACTL6A	ARID1B	1
ACTL6A	BANF1	1
ACTL6A	BRD8	1
ACTL6A	DMAP1	1
ACTL6A	DPF3	1
ACTL6A	EP400	1
ACTL6A	EPC1	1
ACTL6A	ING3	1
ACTL6A	INO80	1
ACTL6A	INO80B	1
ACTL6A	INO80C	1
ACTL6A	KAT2A	1
ACTL6A	KAT5	1
ACTL6A	MAX	1
ACTL6A	MCRS1	1
ACTL6A	MEAF6	1
ACTL6A	MORF4L1	1
ACTL6A	MORF4L2	1
ACTL6A	MRGBP	1
ACTL6A	MYC	1
ACTL6A	PBRM1	1
ACTL6A	RUVBL1	1
ACTL6A	RUVBL2	1
ACTL6A	SMARCA2	1
ACTL6A	SMARCA4	1
ACTL6A	SMARCB1	1
ACTL6A	SMARCC1	1
ACTL6A	SMARCC2	1
ACTL6A	SMARCD1	1
ACTL6A	SMARCD2	1
ACTL6A	SMARCD3	1
ACTL6A	SMARCE1	1
ACTL6A	SRCAP	1
ACTL6A	SS18	1
ACTL6A	TFPT	1
ACTL6A	TRRAP	1
ACTL6A	UCHL5	1
ACTL6A	VPS72	1
ACTL6A	YEATS4	1
ACTL6A	YY1	1
ACTL6B	DPF3	1
ACTL6B	SMARCA2	1
ACTL6B	SMARCC2	1
ACTL6B	SMARCD1	1
ACTL6B	SS18	1
ACTN1	ACTN2	1
ACTN1	ACTN3	1
ACTN1	ACTN4	1
ACTN1	BCAR1	1
ACTN1	CTNNA1	1
ACTN1	EZR	1
ACTN1	ITGB1	1
ACTN1	LPP	1
ACTN1	PDLIM1	1
ACTN1	PTK2	1
ACTN1	SSX2IP	1
ACTN1	TPM1	1
ACTN1	TPM3	1
ACTN1	VCL	1
ACTN1	ZYX	1
ACTN2	ACTN3	1
ACTN2	ACTN4	1
ACTN2	CAMK2A	1
ACTN2	CAMK2D	1
ACTN2	CAMK2G	1
ACTN2	CAPN1	1
ACTN2	DLG4	1
ACTN2	GRIN1	1
ACTN2	GRIN2B	1
ACTN2	LDB3	1
ACTN2	MYH3	1
ACTN2	MYH4	1
ACTN2	MYH6	1
ACTN2	MYH7	1
ACTN2	MYH8	1
ACTN2	MYOZ2	1
ACTN2	TNNI1	1
ACTN2	TPM1	1
ACTN2	TPM2	1
ACTN2	TPM3	1
ACTN2	TPM4	1
ACTN2	TTN	1
ACTN2	ZYX	1
ACTN3	ACTN4	1
ACTN3	TTN	1
ACTN4	ITGB1	1
ACTN4	SERPINE1	1
ACTN4	TPM1	1
ACTN4	TPM3	1
ACTN4	USP6NL	1
ACTN4	VCL	1
ACTR10	ACTR1A	1
ACTR10	CAPZA2	1
ACTR10	DCTN1	1
ACTR10	DCTN2	1
ACTR10	DCTN3	1
ACTR10	DCTN6	1
ACTR10	DYNC1H1	1
ACTR10	KIF11	1
ACTR10	PAFAH1B1	1
ACTR1A	BICD2	1
ACTR1A	CAPZA2	1
ACTR1A	DCTN1	1
ACTR1A	DCTN2	1
ACTR1A	DCTN3	1
ACTR1A	DCTN6	1
ACTR1A	DYNC1H1	1
ACTR1A	DYNC1LI2	1
ACTR1A	MAPRE1	1
ACTR1A	NUMA1	1
ACTR1A	SPTBN1	1
ACTR1A	SPTBN2	1
ACTR2	ACTR3	1
ACTR2	ARPC1A	1
ACTR2	ARPC1B	1
ACTR2	ARPC2	1
ACTR2	ARPC3	1
ACTR2	ARPC4	1
ACTR2	ARPC5	1
ACTR2	ARPC5L	1
ACTR2	CCT8	1
ACTR2	CLTA	1
ACTR2	CLTB	1
ACTR2	CORO1A	1
ACTR2	CTTN	1
ACTR2	DAB2	1
ACTR2	EGFR	1
ACTR2	GSN	1
ACTR2	MYH9	1
ACTR2	SH3GL1	1
ACTR2	WAS	1
ACTR2	WASF1	1
ACTR2	WASF2	1
ACTR2	WASL	1
ACTR3	ARPC1A	1
ACTR3	ARPC1B	1
ACTR3	ARPC2	1
ACTR3	ARPC3	1
ACTR3	ARPC4	1
ACTR3	ARPC5	1
ACTR3	ARPC5L	1
ACTR3	CDC42	1
ACTR3	CFTR	1
ACTR3	CTTN	1
ACTR3	MYH9	1
ACTR3	SH3GL1	1
ACTR3	WAS	1
ACTR3	WASF1	1
ACTR3	WASF2	1
ACTR3	WASF3	1
ACTR3	WASL	1
